Channel,Frame Type,Frame Format,Frame ID,Direction,Length,Datas(Hex),Status,Time
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:32.869.600
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:32.869.800
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:32.870.000
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9D FF 00 00 ,Success,00:10:32.870.200
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:33.122.100
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:33.122.200
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:33.122.400
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:33.122.700
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:33.122.900
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9C FF 00 00 ,Success,00:10:33.123.100
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:33.374.900
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:33.375.000
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:33.375.200
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:33.375.400
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:33.375.600
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9C FF 00 00 ,Success,00:10:33.375.800
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:33.627.500
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:33.627.700
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:33.627.900
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:33.628.100
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:33.628.300
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9E FF 00 00 ,Success,00:10:33.628.500
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:33.880.400
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:33.880.600
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:33.880.800
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:33.881.000
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:33.881.200
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9C FF 00 00 ,Success,00:10:33.881.400
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:34.133.300
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:34.133.400
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:34.133.600
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:34.133.800
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:34.134.000
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9B FF 00 00 ,Success,00:10:34.134.100
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:34.385.900
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:34.386.000
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:34.386.200
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:34.386.400
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:34.386.600
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9D FF 00 00 ,Success,00:10:34.386.800
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:34.638.700
